STT,Từ Tiếng Anh,Số lần,Số file,Nguồn,Gợi ý tiếng Việt
3402,cushion,11,5,json/md,(chưa gợi ý)
3403,reverse,11,6,json/md,(chưa gợi ý)
3404,feeling,11,7,json/md,(chưa gợi ý)
3405,Tigers,11,8,json/md,(chưa gợi ý)
3406,hanami,11,6,json/md,(chưa gợi ý)
3407,connoisseur,11,6,json/md,(chưa gợi ý)
3408,Kurokawa,11,4,json/md,(chưa gợi ý)
3409,Bubble,11,6,json/md,(chưa gợi ý)
3410,Conan,11,3,json/md,(chưa gợi ý)
3411,Fighters,11,6,json/md,(chưa gợi ý)
3412,Yoshida,11,5,json/md,(chưa gợi ý)
3413,Ueno,11,7,json/md,(chưa gợi ý)
3414,MAX,11,4,json/md,(chưa gợi ý)
3415,Maiko,11,4,json/md,(chưa gợi ý)
3416,tourist,11,7,json/md,(chưa gợi ý)
3417,that,11,8,json/md,(chưa gợi ý)
3418,Sorae,11,4,json/md,(chưa gợi ý)
3419,Okonomiyaki,11,8,json/md,(chưa gợi ý)
3420,dance,11,8,json/md,(chưa gợi ý)
3421,Drink,11,8,json/md,(chưa gợi ý)
3422,rare,11,9,md,(chưa gợi ý)
3423,want,11,7,json/md,(chưa gợi ý)
3424,rich,11,5,json/md,(chưa gợi ý)
3425,mae,11,8,json/md,(chưa gợi ý)
3426,Stay,11,11,json/md,(chưa gợi ý)
3427,binary,11,9,json/md,(chưa gợi ý)
3428,deflect,11,7,json/md,(chưa gợi ý)
3429,graduation,11,8,md,(chưa gợi ý)
3430,dilution,11,6,md,(chưa gợi ý)
3431,GDPR,11,4,json/md,(chưa gợi ý)
3432,Roppongi,11,7,json/md,(chưa gợi ý)
3433,bring,11,8,json/md,(chưa gợi ý)
3434,filtering,11,4,json/md,(chưa gợi ý)
3435,West,11,4,json/md,(chưa gợi ý)
3436,brochure,11,8,json/md,(chưa gợi ý)
3437,Offer,11,8,json/md,(chưa gợi ý)
3438,rang,11,7,json/md,(chưa gợi ý)
3439,defining,11,7,json/md,(chưa gợi ý)
3440,publicly,11,5,json/md,(chưa gợi ý)
3441,Saturday,11,6,json/md,(chưa gợi ý)
3442,Invite,11,7,json/md,(chưa gợi ý)
3443,deliberate,11,11,json/md,(chưa gợi ý)
3444,garden,11,5,json/md,(chưa gợi ý)
3445,solution,11,6,json/md,(chưa gợi ý)
3446,agreed,11,7,json/md,(chưa gợi ý)
3447,easy,11,7,json/md,(chưa gợi ý)
3448,uplift,11,3,json/md,(chưa gợi ý)
3449,license,11,8,json/md,(chưa gợi ý)
3450,Renraku,11,5,json/md,(chưa gợi ý)
3451,TICKET,11,3,json/md,(chưa gợi ý)
3452,Lesson,11,5,json/md,(chưa gợi ý)
3453,odori,11,4,json/md,(chưa gợi ý)
3454,eager,11,10,json/md,(chưa gợi ý)
3455,VSCode,11,5,md,(chưa gợi ý)
3456,Brown,11,5,md,(chưa gợi ý)
3457,Kamakura,11,1,json,(chưa gợi ý)
3458,hamburger,11,1,json,(chưa gợi ý)
3459,phone_ring,11,10,json,(chưa gợi ý)
3460,rule_20_good_04,11,7,json,(chưa gợi ý)
3461,rule_21_good_02,11,6,json,(chưa gợi ý)
3462,rule_18_good_03,11,7,json,(chưa gợi ý)
3463,rule_15_good_01,11,7,json,(chưa gợi ý)
3464,rule_08_good_01,11,6,json,(chưa gợi ý)
3465,rule_12_good_03,11,6,json,(chưa gợi ý)
3466,rule_11_good_01,11,7,json,(chưa gợi ý)
3467,rule_32_good_02,11,6,json,(chưa gợi ý)
3468,rule_27_good_03,11,5,json,(chưa gợi ý)
3469,rule_06_good_01,11,6,json,(chưa gợi ý)
3470,fields,10,9,md,(chưa gợi ý)
3471,rule_slug,10,9,json/md,(chưa gợi ý)
3472,extend,10,9,md,(chưa gợi ý)
3473,balo,10,9,json/md,(chưa gợi ý)
3474,Tower,10,5,md,(chưa gợi ý)
3475,slug,10,7,json/md,(chưa gợi ý)
3476,force,10,9,json/md,(chưa gợi ý)
3477,gay,10,7,json/md,(chưa gợi ý)
3478,rest,10,7,md,(chưa gợi ý)
3479,effective,10,7,json/md,(chưa gợi ý)
3480,immigration,10,9,json/md,(chưa gợi ý)
3481,discuss,10,10,md,(chưa gợi ý)
3482,Contract,10,8,json/md,(chưa gợi ý)
3483,migrate,10,7,json/md,(chưa gợi ý)
3484,implement,10,9,json/md,(chưa gợi ý)
3485,Product,10,7,json/md,(chưa gợi ý)
3486,projection,10,9,json/md,(chưa gợi ý)
3487,Parts,10,3,md,(chưa gợi ý)
3488,Revenue,10,7,md,(chưa gợi ý)
3489,NOT,10,8,md,(chưa gợi ý)
3490,Submit,10,6,md,(chưa gợi ý)
3491,prioritize,10,9,md,(chưa gợi ý)
3492,viral,10,6,md,(chưa gợi ý)
3493,objective,10,8,json/md,(chưa gợi ý)
3494,Analyze,10,7,md,(chưa gợi ý)
3495,workplace,10,7,json/md,(chưa gợi ý)
3496,outdoor,10,8,json/md,(chưa gợi ý)
3497,chen,10,9,json/md,(chưa gợi ý)
3498,jacket,10,7,json/md,(chưa gợi ý)
3499,VND,10,7,md,(chưa gợi ý)
3500,taboo,10,4,json/md,(chưa gợi ý)
3501,sakura,10,8,json/md,(chưa gợi ý)
3502,mono,10,5,json/md,(chưa gợi ý)
3503,Xoay,10,6,json/md,(chưa gợi ý)
3504,battery,10,8,json/md,(chưa gợi ý)
3505,Chu,10,9,json/md,(chưa gợi ý)
3506,Promotion,10,9,json/md,(chưa gợi ý)
3507,unify,10,5,md,(chưa gợi ý)
3508,Machine,10,7,md,(chưa gợi ý)
3509,Manila,10,2,md,(chưa gợi ý)
3510,Jakarta,10,4,md,(chưa gợi ý)
3511,Telegraphic,10,10,md,(chưa gợi ý)
3512,stamp,10,9,json/md,(chưa gợi ý)
3513,symbol,10,8,json/md,(chưa gợi ý)
3514,chief,10,9,json/md,(chưa gợi ý)
3515,READY,10,7,json/md,(chưa gợi ý)
3516,ending,10,8,md,(chưa gợi ý)
3517,rule_07_good_02,10,7,json/md,(chưa gợi ý)
3518,rule_13_good_02,10,8,json/md,(chưa gợi ý)
3519,digits,10,3,md,(chưa gợi ý)
3520,good_02,10,2,md,(chưa gợi ý)
3521,reorder,10,7,json/md,(chưa gợi ý)
3522,display,10,6,json/md,(chưa gợi ý)
3523,redundancy,10,7,json/md,(chưa gợi ý)
3524,Polish,10,9,md,(chưa gợi ý)
3525,Duy,10,8,json/md,(chưa gợi ý)
3526,Myanmar,10,5,md,(chưa gợi ý)
3527,Hatsumode,10,6,json/md,(chưa gợi ý)
3528,Homestay,10,8,json/md,(chưa gợi ý)
3529,Outline,10,8,json/md,(chưa gợi ý)
3530,Scenes,10,10,json/md,(chưa gợi ý)
3531,sectional,10,7,md,(chưa gợi ý)
3532,bon,10,3,json/md,(chưa gợi ý)
3533,where,10,7,json/md,(chưa gợi ý)
3534,retention,10,7,md,(chưa gợi ý)
3535,OSS,10,4,md,(chưa gợi ý)
3536,DNS,10,3,md,(chưa gợi ý)
3537,Ubuntu,10,2,md,(chưa gợi ý)
3538,Session,10,9,json/md,(chưa gợi ý)
3539,cable,10,7,json/md,(chưa gợi ý)
3540,authoritative,10,9,json/md,(chưa gợi ý)
3541,Virtual,10,8,json/md,(chưa gợi ý)
3542,SDK,10,3,md,(chưa gợi ý)
3543,Multilingual,10,4,md,(chưa gợi ý)
3544,Modern,10,8,json/md,(chưa gợi ý)
3545,Training,10,10,json/md,(chưa gợi ý)
3546,Dart,10,4,md,(chưa gợi ý)
3547,BEGIN,10,4,json/md,(chưa gợi ý)
3548,should,10,7,md,(chưa gợi ý)
3549,Science,10,4,md,(chưa gợi ý)
3550,able,10,9,json/md,(chưa gợi ý)
3551,warpage,10,8,json/md,(chưa gợi ý)
3552,retry,10,8,json/md,(chưa gợi ý)
3553,Tia,10,9,md,(chưa gợi ý)
3554,hin,10,8,json/md,(chưa gợi ý)
3555,Avoid,10,10,json/md,(chưa gợi ý)
3556,Xung,10,6,json/md,(chưa gợi ý)
3557,website,10,8,md,(chưa gợi ý)
3558,Eisei,10,3,json/md,(chưa gợi ý)
3559,RELEASE,10,8,json/md,(chưa gợi ý)
3560,adjust,10,9,json/md,(chưa gợi ý)
3561,chars,10,7,md,(chưa gợi ý)
3562,presence,10,6,json/md,(chưa gợi ý)
3563,None,10,7,md,(chưa gợi ý)
3564,External,10,7,md,(chưa gợi ý)
3565,confirmed,10,8,md,(chưa gợi ý)
3566,solid,10,7,json/md,(chưa gợi ý)
3567,discipline,10,8,json/md,(chưa gợi ý)
3568,COVID,10,3,json/md,(chưa gợi ý)
3569,expression,10,9,json/md,(chưa gợi ý)
3570,nan,10,8,json/md,(chưa gợi ý)
3571,loan,10,5,md,(chưa gợi ý)
3572,Tuan,10,6,json/md,(chưa gợi ý)
3573,vector,10,5,md,(chưa gợi ý)
3574,req,10,5,json/md,(chưa gợi ý)
3575,question_id,10,8,json/md,(chưa gợi ý)
3576,Performance,10,7,json/md,(chưa gợi ý)
3577,NumPy,10,3,md,(chưa gợi ý)
3578,contradiction,10,8,md,(chưa gợi ý)
3579,Anthropic,10,5,md,(chưa gợi ý)
3580,mechanism,10,7,json/md,(chưa gợi ý)
3581,hours,10,9,md,(chưa gợi ý)
3582,metric,10,9,md,(chưa gợi ý)
3583,Convert,10,9,json/md,(chưa gợi ý)
3584,MIN,10,1,md,(chưa gợi ý)
3585,Theme,10,3,md,(chưa gợi ý)
3586,Edit,10,4,md,(chưa gợi ý)
3587,Active,10,8,json/md,(chưa gợi ý)
3588,figure,10,6,json/md,(chưa gợi ý)
3589,palette,10,4,json/md,(chưa gợi ý)
3590,creep,10,3,json/md,(chưa gợi ý)
3591,looks,10,9,json/md,(chưa gợi ý)
3592,Journey,10,4,json/md,(chưa gợi ý)
3593,fluff,10,4,json/md,(chưa gợi ý)
3594,integration,10,7,json/md,(chưa gợi ý)
3595,reliable,10,5,md,(chưa gợi ý)
3596,denial,10,6,json/md,(chưa gợi ý)
3597,participant,10,6,json/md,(chưa gợi ý)
3598,env,10,7,json/md,(chưa gợi ý)
3599,Move,10,8,json/md,(chưa gợi ý)
3600,Paraphrase,10,8,json/md,(chưa gợi ý)
3601,Resource,10,8,md,(chưa gợi ý)
3602,associative,10,5,json/md,(chưa gợi ý)
3603,karaage,10,6,json/md,(chưa gợi ý)
3604,FOOD,10,6,md,(chưa gợi ý)
3605,Miyazaki,10,6,json/md,(chưa gợi ý)
3606,Craft,10,5,json/md,(chưa gợi ý)
3607,yokozuna,10,6,json/md,(chưa gợi ý)
3608,Nakai,10,6,json/md,(chưa gợi ý)
3609,LiSA,10,3,json/md,(chưa gợi ý)
3610,pull,10,9,json/md,(chưa gợi ý)
3611,stadium,10,5,json/md,(chưa gợi ý)
3612,Kitakata,10,5,json/md,(chưa gợi ý)
3613,Yomiuri,10,6,json/md,(chưa gợi ý)
3614,DNA,10,5,json/md,(chưa gợi ý)
3615,POC,10,6,json/md,(chưa gợi ý)
3616,Wagyu,10,6,json/md,(chưa gợi ý)
3617,DEPTH,10,3,md,(chưa gợi ý)
3618,Otafuku,10,5,json/md,(chưa gợi ý)
3619,Itsukushima,10,5,json/md,(chưa gợi ý)
3620,Odori,10,5,json/md,(chưa gợi ý)
3621,tonkotsu,10,8,json/md,(chưa gợi ý)
3622,curious,10,7,json/md,(chưa gợi ý)
3623,vivid,10,5,json/md,(chưa gợi ý)
3624,Stick,10,6,json/md,(chưa gợi ý)
3625,reassure,10,8,json/md,(chưa gợi ý)
3626,anticipate,10,8,json/md,(chưa gợi ý)
3627,Escort,10,5,json/md,(chưa gợi ý)
3628,Kick,10,7,json/md,(chưa gợi ý)
3629,ale,10,5,json/md,(chưa gợi ý)
3630,alc,10,5,json/md,(chưa gợi ý)
3631,compliment,10,6,json/md,(chưa gợi ý)
3632,enthusiasm,10,4,json/md,(chưa gợi ý)
3633,Dazaifu,10,3,json/md,(chưa gợi ý)
3634,Mechanism,10,4,json/md,(chưa gợi ý)
3635,Quick,10,9,json/md,(chưa gợi ý)
3636,was,10,4,md,(chưa gợi ý)
3637,varies,10,9,json/md,(chưa gợi ý)
3638,IPO,10,6,md,(chưa gợi ý)
3639,Discussion,10,7,md,(chưa gợi ý)
3640,equity,10,7,md,(chưa gợi ý)
3641,Agents,10,6,json/md,(chưa gợi ý)
3642,Cay,10,4,json/md,(chưa gợi ý)
3643,Banana,10,6,json/md,(chưa gợi ý)
3644,PRESS,10,7,json/md,(chưa gợi ý)
3645,mulligan,10,4,json/md,(chưa gợi ý)
3646,Tee,10,4,json/md,(chưa gợi ý)
3647,nhai,10,6,json/md,(chưa gợi ý)
3648,kinen,10,4,json/md,(chưa gợi ý)
3649,improvise,10,6,json/md,(chưa gợi ý)
3650,productive,10,7,json/md,(chưa gợi ý)
3651,taker,10,4,json/md,(chưa gợi ý)
3652,extra,10,9,json/md,(chưa gợi ý)
3653,Matcha,10,4,json/md,(chưa gợi ý)
3654,indoor,10,4,json/md,(chưa gợi ý)
3655,Event,10,4,json/md,(chưa gợi ý)
3656,Panel,10,4,json/md,(chưa gợi ý)
3657,Gift,10,4,json/md,(chưa gợi ý)
3658,hikidemono,10,4,json/md,(chưa gợi ý)
3659,Pub,10,4,json/md,(chưa gợi ý)
3660,overspec,10,4,json/md,(chưa gợi ý)
3661,Probe,10,6,json/md,(chưa gợi ý)
3662,drift,10,6,json/md,(chưa gợi ý)
3663,Close,10,8,json/md,(chưa gợi ý)
3664,stakeholders,10,5,json/md,(chưa gợi ý)
3665,ignored,10,4,json/md,(chưa gợi ý)
3666,precise,10,10,json/md,(chưa gợi ý)
3667,bind,10,4,json/md,(chưa gợi ý)
3668,userId,10,3,json/md,(chưa gợi ý)
3669,expectations,10,5,json/md,(chưa gợi ý)
3670,Facilitator,10,5,json/md,(chưa gợi ý)
3671,competitive,10,8,json/md,(chưa gợi ý)
3672,postpartum,10,5,md,(chưa gợi ý)
3673,queue,10,3,md,(chưa gợi ý)
3674,Chiang,10,2,json,(chưa gợi ý)
3675,origami,10,1,json,(chưa gợi ý)
3676,deepfake,10,1,json,(chưa gợi ý)
3677,probiotic,10,1,json,(chưa gợi ý)
3678,nilon,10,2,json,(chưa gợi ý)
3679,Wabi,10,1,json,(chưa gợi ý)
3680,rule_21_good_04,10,6,json,(chưa gợi ý)
3681,rule_21_good_01,10,6,json,(chưa gợi ý)
3682,rule_17_good_01,10,7,json,(chưa gợi ý)
3683,rule_17_good_03,10,6,json,(chưa gợi ý)
3684,rule_19_good_01,10,7,json,(chưa gợi ý)
3685,rule_15_good_02,10,7,json,(chưa gợi ý)
3686,rule_08_good_02,10,6,json,(chưa gợi ý)
3687,rule_12_good_02,10,7,json,(chưa gợi ý)
3688,rule_11_good_03,10,6,json,(chưa gợi ý)
3689,rule_14_good_02,10,7,json,(chưa gợi ý)
3690,rule_33_good_02,10,6,json,(chưa gợi ý)
3691,rule_28_good_02,10,6,json,(chưa gợi ý)
3692,rule_27_good_02,10,6,json,(chưa gợi ý)
3693,rule_29_good_01,10,6,json,(chưa gợi ý)
3694,rule_26_good_01,10,6,json,(chưa gợi ý)
3695,rule_03_good_02,10,6,json,(chưa gợi ý)
3696,rule_07_good_01,10,6,json,(chưa gợi ý)
3697,rule_05_good_02,10,6,json,(chưa gợi ý)
3698,sasaki_dev,10,3,json,(chưa gợi ý)
3699,hayashi_bd,10,3,json,(chưa gợi ý)
3700,mogishiken_dokkai,10,10,json,(chưa gợi ý)
3701,verification,9,7,md,(chưa gợi ý)
3702,Dark,9,4,md,(chưa gợi ý)
3703,Android,9,6,md,(chưa gợi ý)
3704,reserved,9,8,json/md,(chưa gợi ý)
3705,sustainable,9,7,json/md,(chưa gợi ý)
3706,economics,9,6,md,(chưa gợi ý)
3707,admin,9,7,md,(chưa gợi ý)
3708,fictional,9,7,json/md,(chưa gợi ý)
3709,edge,9,9,md,(chưa gợi ý)
3710,Highlights,9,9,md,(chưa gợi ý)
3711,Cake,9,5,json/md,(chưa gợi ý)
3712,repetition,9,8,md,(chưa gợi ý)
3713,Primary,9,5,json/md,(chưa gợi ý)
3714,orange,9,8,json/md,(chưa gợi ý)
3715,Offline,9,7,json/md,(chưa gợi ý)
3716,Bilingual,9,9,md,(chưa gợi ý)
3717,redesign,9,8,json/md,(chưa gợi ý)
3718,VARCHAR,9,2,md,(chưa gợi ý)
3719,Phim,9,5,json/md,(chưa gợi ý)
3720,salary,9,5,json/md,(chưa gợi ý)
3721,Math,9,6,md,(chưa gợi ý)
3722,refresh,9,6,json/md,(chưa gợi ý)
3723,Reach,9,6,json/md,(chưa gợi ý)
3724,traffic,9,7,json/md,(chưa gợi ý)
3725,exposure,9,9,json/md,(chưa gợi ý)
3726,income,9,9,md,(chưa gợi ý)
3727,ambiguous,9,9,md,(chưa gợi ý)
3728,conditional,9,6,json/md,(chưa gợi ý)
3729,Rewrite,9,7,md,(chưa gợi ý)
3730,housing,9,7,json/md,(chưa gợi ý)
3731,souvenir,9,6,json/md,(chưa gợi ý)
3732,ojigi,9,2,json/md,(chưa gợi ý)
3733,Kamiza,9,7,json/md,(chưa gợi ý)
3734,Shimoza,9,7,json/md,(chưa gợi ý)
3735,transit,9,5,json/md,(chưa gợi ý)
3736,refill,9,4,json/md,(chưa gợi ý)
3737,greeting,9,8,json/md,(chưa gợi ý)
3738,credit,9,8,json/md,(chưa gợi ý)
3739,Generic,9,8,json/md,(chưa gợi ý)
3740,Visit,9,9,json/md,(chưa gợi ý)
3741,inside,9,7,json/md,(chưa gợi ý)
3742,aware,9,8,json/md,(chưa gợi ý)
3743,trait,9,6,json/md,(chưa gợi ý)
3744,FDI,9,3,md,(chưa gợi ý)
3745,mega,9,6,json/md,(chưa gợi ý)
3746,Apartment,9,5,json/md,(chưa gợi ý)
3747,too,9,8,json/md,(chưa gợi ý)
3748,gate,9,6,json/md,(chưa gợi ý)
3749,leadership,9,6,json/md,(chưa gợi ý)
3750,perspective,9,8,md,(chưa gợi ý)
3751,old,9,8,json/md,(chưa gợi ý)
3752,irassharu,9,5,md,(chưa gợi ý)
3753,rule_34_good_03,9,7,json/md,(chưa gợi ý)
3754,own,9,6,md,(chưa gợi ý)
3755,rebuild,9,4,md,(chưa gợi ý)
3756,carton,9,4,json/md,(chưa gợi ý)
3757,Gogo,9,6,json/md,(chưa gợi ý)
3758,Gakuin,9,6,json/md,(chưa gợi ý)
3759,division,9,5,json/md,(chưa gợi ý)
3760,Shitennoji,9,6,md,(chưa gợi ý)
3761,Ochna,9,4,md,(chưa gợi ý)
3762,integerrima,9,4,md,(chưa gợi ý)
3763,shogatsu,9,3,md,(chưa gợi ý)
3764,Hanabi,9,4,md,(chưa gợi ý)
3765,chanh,9,7,json/md,(chưa gợi ý)
3766,onigiri,9,7,json/md,(chưa gợi ý)
3767,station,9,8,json/md,(chưa gợi ý)
3768,Noto,9,5,json/md,(chưa gợi ý)
3769,Dynamic,9,7,json/md,(chưa gợi ý)
3770,console,9,5,md,(chưa gợi ý)
3771,osaka,9,6,md,(chưa gợi ý)
3772,WHERE,9,6,json/md,(chưa gợi ý)
3773,boot,9,3,md,(chưa gợi ý)
3774,blog,9,4,json/md,(chưa gợi ý)
3775,events,9,8,json/md,(chưa gợi ý)
3776,graduate,9,6,md,(chưa gợi ý)
3777,Copilot,9,5,md,(chưa gợi ý)
3778,ACID,9,3,md,(chưa gợi ý)
3779,City,9,5,md,(chưa gợi ý)
3780,Compose,9,6,md,(chưa gợi ý)
3781,provider,9,9,json/md,(chưa gợi ý)
3782,Monitoring,9,5,json/md,(chưa gợi ý)
3783,Relationship,9,7,json/md,(chưa gợi ý)
3784,even,9,6,md,(chưa gợi ý)
3785,Half,9,9,json/md,(chưa gợi ý)
3786,Non,9,8,json/md,(chưa gợi ý)
3787,regression,9,6,md,(chưa gợi ý)
3788,branch,9,7,json/md,(chưa gợi ý)
3789,dropped,9,6,md,(chưa gợi ý)
3790,better,9,7,md,(chưa gợi ý)
3791,kentei,9,9,json/md,(chưa gợi ý)
3792,ABS,9,6,md,(chưa gợi ý)
3793,Break,9,6,json/md,(chưa gợi ý)
3794,seal,9,7,md,(chưa gợi ý)
3795,furyou,9,8,json/md,(chưa gợi ý)
3796,aeon,9,5,md,(chưa gợi ý)
3797,SME,9,6,json/md,(chưa gợi ý)
3798,dantai,9,4,json/md,(chưa gợi ý)
3799,Salmonella,9,5,json/md,(chưa gợi ý)
3800,formality,9,8,json/md,(chưa gợi ý)
3801,Super,9,8,json/md,(chưa gợi ý)
3802,CCP,9,5,md,(chưa gợi ý)
3803,beat,9,5,json/md,(chưa gợi ý)
3804,ALL,9,8,md,(chưa gợi ý)
3805,pistachio,9,4,md,(chưa gợi ý)
3806,wide,9,8,md,(chưa gợi ý)
3807,tanakadev,9,3,md,(chưa gợi ý)
3808,yahoo,9,9,json/md,(chưa gợi ý)
3809,yori,9,3,md,(chưa gợi ý)
3810,Facebook,9,7,json/md,(chưa gợi ý)
3811,your,9,9,json/md,(chưa gợi ý)
3812,Message,9,7,json/md,(chưa gợi ý)
3813,dungdev,9,3,md,(chưa gợi ý)
3814,Designer,9,9,json/md,(chưa gợi ý)
3815,Rollback,9,8,md,(chưa gợi ý)
3816,claude,9,5,md,(chưa gợi ý)
3817,sonnet,9,5,md,(chưa gợi ý)
3818,axit,9,4,json/md,(chưa gợi ý)
3819,birth,9,6,md,(chưa gợi ý)
3820,NSP,9,4,md,(chưa gợi ý)
3821,cur,9,2,md,(chưa gợi ý)
3822,outcome,9,8,md,(chưa gợi ý)
3823,integrate,9,5,json/md,(chưa gợi ý)
3824,cluster,9,8,json/md,(chưa gợi ý)
3825,reality,9,7,md,(chưa gợi ý)
3826,contrast,9,9,json/md,(chưa gợi ý)
3827,Handout,9,6,json/md,(chưa gợi ý)
3828,Adapter,9,5,json/md,(chưa gợi ý)
3829,Tethering,9,6,json/md,(chưa gợi ý)
3830,TED,9,6,json/md,(chưa gợi ý)
3831,lexicon,9,5,json/md,(chưa gợi ý)
3832,Highlight,9,8,json/md,(chưa gợi ý)
3833,scrutinize,9,7,json/md,(chưa gợi ý)
3834,Testimonial,9,3,md,(chưa gợi ý)
3835,Direct,9,7,json/md,(chưa gợi ý)
3836,forget,9,8,json/md,(chưa gợi ý)
3837,virtual,9,6,json/md,(chưa gợi ý)
3838,beach,9,6,json/md,(chưa gợi ý)
3839,remaining,9,5,json/md,(chưa gợi ý)
3840,pointer,9,6,json/md,(chưa gợi ý)
3841,diecast,9,2,md,(chưa gợi ý)
3842,PPAP,9,3,md,(chưa gợi ý)
3843,coordinate,9,5,json/md,(chưa gợi ý)
3844,tick,9,9,json/md,(chưa gợi ý)
3845,filler,9,8,md,(chưa gợi ý)
3846,Over,9,6,json/md,(chưa gợi ý)
3847,who,9,7,md,(chưa gợi ý)
3848,Cushion,9,5,json/md,(chưa gợi ý)
3849,afternoon,9,7,json/md,(chưa gợi ý)
3850,chekkurisuto,9,7,md,(chưa gợi ý)
3851,Fan,9,7,json/md,(chưa gợi ý)
3852,pub,9,7,json/md,(chưa gợi ý)
3853,Brewery,9,4,json/md,(chưa gợi ý)
3854,imo,9,5,json/md,(chưa gợi ý)
3855,Shochu,9,4,json/md,(chưa gợi ý)
3856,invasion,9,4,json/md,(chưa gợi ý)
3857,Festivals,9,8,json/md,(chưa gợi ý)
3858,invasive,9,6,json/md,(chưa gợi ý)
3859,nostalgia,9,5,json/md,(chưa gợi ý)
3860,Pokemon,9,4,json/md,(chưa gợi ý)
3861,Oscar,9,4,json/md,(chưa gợi ý)
3862,YOASOBI,9,6,json/md,(chưa gợi ý)
3863,Cup,9,4,json/md,(chưa gợi ý)
3864,MLB,9,5,json/md,(chưa gợi ý)
3865,patronizing,9,7,json/md,(chưa gợi ý)
3866,POV,9,5,md,(chưa gợi ý)
3867,rude,9,8,json/md,(chưa gợi ý)
3868,Shino,9,5,json/md,(chưa gợi ý)
3869,Awa,9,5,json/md,(chưa gợi ý)
3870,Kiroro,9,3,json/md,(chưa gợi ý)
3871,SPEED,9,3,json/md,(chưa gợi ý)
3872,Nho,9,6,json/md,(chưa gợi ý)
3873,mood,9,6,json/md,(chưa gợi ý)
3874,Meiji,9,4,json/md,(chưa gợi ý)
3875,Anticipate,9,4,json/md,(chưa gợi ý)
3876,Tei,9,4,json/md,(chưa gợi ý)
3877,AKA,9,4,json/md,(chưa gợi ý)
3878,omakase,9,7,json/md,(chưa gợi ý)
3879,carefully,9,5,json/md,(chưa gợi ý)
3880,Hit,9,4,json/md,(chưa gợi ý)
3881,everyone,9,9,json/md,(chưa gợi ý)
3882,Weather,9,8,json/md,(chưa gợi ý)
3883,Warning,9,4,json/md,(chưa gợi ý)
3884,recognize,9,6,json/md,(chưa gợi ý)
3885,Concrete,9,8,json/md,(chưa gợi ý)
3886,shoyu,9,7,json/md,(chưa gợi ý)
3887,origin,9,6,json/md,(chưa gợi ý)
3888,are,9,1,md,(chưa gợi ý)
3889,has,9,6,json/md,(chưa gợi ý)
3890,years,9,5,md,(chưa gợi ý)
3891,slightly,9,9,json/md,(chưa gợi ý)
3892,handling,9,7,json/md,(chưa gợi ý)
3893,CLOSURE,9,6,json/md,(chưa gợi ý)
3894,canon,9,3,md,(chưa gợi ý)
3895,highest,9,5,json/md,(chưa gợi ý)
3896,Chapter,9,3,md,(chưa gợi ý)
3897,WEEK,9,5,json/md,(chưa gợi ý)
3898,sneakers,9,5,json/md,(chưa gợi ý)
3899,guard,9,5,json/md,(chưa gợi ý)
3900,rail,9,5,json/md,(chưa gợi ý)
3901,Sugar,9,3,json/md,(chưa gợi ý)
3902,Butter,9,3,json/md,(chưa gợi ý)
3903,repair,9,5,json/md,(chưa gợi ý)
3904,shoes,9,3,json/md,(chưa gợi ý)
3905,AirDrop,9,5,json/md,(chưa gợi ý)
3906,fringe,9,3,json/md,(chưa gợi ý)
3907,spa,9,5,json/md,(chưa gợi ý)
3908,tsukiai,9,5,json/md,(chưa gợi ý)
3909,Museum,9,3,json/md,(chưa gợi ý)
3910,bullshit,9,7,json/md,(chưa gợi ý)
3911,frank,9,5,json/md,(chưa gợi ý)
3912,konbini,9,3,json/md,(chưa gợi ý)
3913,Cuc,9,3,json/md,(chưa gợi ý)
3914,Gach,9,3,json/md,(chưa gợi ý)
3915,MacBook,9,5,json/md,(chưa gợi ý)
3916,Tre,9,3,json/md,(chưa gợi ý)
3917,SmartEX,9,3,json/md,(chưa gợi ý)
3918,HeatTech,9,3,json/md,(chưa gợi ý)
3919,tattoo,9,3,json/md,(chưa gợi ý)
3920,Atsukan,9,3,json/md,(chưa gợi ý)
3921,gohan,9,6,json/md,(chưa gợi ý)
3922,ham,9,6,json/md,(chưa gợi ý)
3923,appetite,9,3,json/md,(chưa gợi ý)
3924,forgive,9,3,json/md,(chưa gợi ý)
3925,XTECH,9,3,json/md,(chưa gợi ý)
3926,Cravat,9,3,json/md,(chưa gợi ý)
3927,organ,9,3,json/md,(chưa gợi ý)
3928,petal,9,3,json/md,(chưa gợi ý)
3929,told,9,3,json/md,(chưa gợi ý)
3930,parents,9,3,json/md,(chưa gợi ý)
3931,Intel,9,6,json/md,(chưa gợi ý)
3932,categories,9,7,json/md,(chưa gợi ý)
3933,Conditional,9,6,json/md,(chưa gợi ý)
3934,Commercial,9,6,json/md,(chưa gợi ý)
3935,interruption,9,3,json/md,(chưa gợi ý)
3936,stillness,9,4,json/md,(chưa gợi ý)
3937,Translator,9,3,md,(chưa gợi ý)
3938,mediated,9,4,md,(chưa gợi ý)
3939,adhere,9,4,json/md,(chưa gợi ý)
3940,Jargon,9,4,json/md,(chưa gợi ý)
3941,Phase2,9,5,json/md,(chưa gợi ý)
3942,MOCH,9,3,json/md,(chưa gợi ý)
3943,Overlap,9,3,json/md,(chưa gợi ý)
